time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-10-21T04:26:01.564Z,-49.8618,114.1357,10,4.7,mb,31,128,16.569,0.66,us,us6000lh31,2023-10-21T05:10:03.040Z,"western Indian-Antarctic Ridge",earthquake,8.69,1.839,0.142,16,reviewed,us,us
2023-10-21T02:42:21.165Z,31.9116,141.8959,10,4.6,mb,35,136,2.13,0.65,us,us6000lh2u,2023-10-21T03:33:23.040Z,"Izu Islands, Japan region",earthquake,10.29,1.898,0.116,23,reviewed,us,us
2023-10-21T02:23:16.536Z,-22.4935,-68.5291,131.94,4.5,mb,31,50,0.559,0.63,us,us6000lh2f,2023-10-21T02:41:18.040Z,"40 km E of Calama, Chile",earthquake,6.89,6.774,0.135,17,reviewed,us,us
2023-10-21T01:02:15.797Z,-4.1557,-104.0109,10,4.7,mb,39,160,23.216,1.05,us,us6000lh28,2023-10-21T01:29:26.040Z,"central East Pacific Rise",earthquake,15.82,1.938,0.088,40,reviewed,us,us
2023-10-21T00:11:38.310Z,-2.4646,146.4255,10,4.8,mb,26,91,5.717,0.51,us,us6000lh20,2023-10-21T00:39:14.040Z,"105 km WSW of Lorengau, Papua New Guinea",earthquake,5.6,1.908,0.119,22,reviewed,us,us
2023-10-20T23:00:21.344Z,14.3049,-93.4249,10,4.9,mww,72,160,2.326,1.13,us,us6000lh1j,2023-10-20T23:42:16.440Z,"117 km WSW of Puerto Madero, Mexico",earthquake,6.95,1.896,0.058,29,reviewed,us,us
2023-10-20T21:21:20.411Z,-18.6595,-172.9717,10,4.7,mb,21,137,2.913,0.5,us,us6000lh14,2023-10-20T21:50:26.040Z,"Tonga region",earthquake,10.76,1.886,0.123,20,reviewed,us,us
2023-10-20T19:51:56.837Z,0.7796,125.2204,65.26,5.1,mb,101,56,2.146,0.97,us,us6000lh0e,2023-10-21T01:15:13.950Z,"67 km SSE of Tondano, Indonesia",earthquake,7.14,6.581,0.065,77,reviewed,us,us
2023-10-20T19:34:02.111Z,-5.4912,150.2567,124.504,4.9,mb,42,82,2.298,0.76,us,us6000lh06,2023-10-20T19:48:04.040Z,"14 km ENE of Kimbe, Papua New Guinea",earthquake,10.89,7.699,0.102,30,reviewed,us,us
2023-10-20T19:16:09.952Z,30.9618,141.4852,35,4.5,mb,33,128,2.574,1.17,us,us6000lh01,2023-10-20T19:36:35.040Z,"Izu Islands, Japan region",earthquake,11.21,1.909,0.125,19,reviewed,us,us
2023-10-20T19:01:40.977Z,30.9582,141.4628,6.81,5,mb,99,97,2.566,0.95,us,us6000lgzw,2023-10-20T19:18:04.040Z,"Izu Islands, Japan region",earthquake,9.18,4.429,0.038,227,reviewed,us,us
2023-10-20T18:01:37.899Z,-0.6397,98.517,22.226,4.9,mb,61,147,2.148,0.74,us,us6000lgzn,2023-10-20T18:25:53.040Z,"155 km SSE of Teluk Dalam, Indonesia",earthquake,6.02,3.759,0.079,50,reviewed,us,us
2023-10-20T16:56:52.068Z,-22.1277,-67.3442,175.293,4.6,mb,40,34,1.126,1.12,us,us6000lgz3,2023-10-20T17:15:48.040Z,"123 km NE of San Pedro de Atacama, Chile",earthquake,7.05,6.733,0.071,59,reviewed,us,us
2023-10-20T16:05:08.204Z,-24.3367,-67.1274,156.414,4.5,mb,25,75,1.682,1.08,us,us6000lgyz,2023-10-20T16:24:20.040Z,"83 km W of San Antonio de los Cobres, Argentina",earthquake,9.17,5.742,0.191,14,reviewed,us,us
2023-10-20T13:07:02.209Z,2.1069,127.8122,228.264,4.6,mb,40,81,1.399,0.98,us,us6000lgw8,2023-10-20T13:57:35.040Z,"47 km NNW of Tobelo, Indonesia",earthquake,10.71,6.879,0.068,64,reviewed,us,us
2023-10-20T09:48:42.817Z,49.0898,155.1177,52.762,4.6,mb,41,135,4.34,0.73,us,us6000lgvk,2023-10-20T10:42:44.040Z,"190 km SSW of Severo-Kuril’sk, Russia",earthquake,10.67,7.792,0.095,33,reviewed,us,us
2023-10-20T08:45:42.593Z,1.0831,96.8178,10,4.5,mb,24,254,0.789,0.45,us,us6000lgvc,2023-10-21T04:50:32.040Z,"91 km WSW of Gunungsitoli, Indonesia",earthquake,8.82,1.997,0.144,14,reviewed,us,us
2023-10-20T08:22:23.625Z,-2.8867,130.0501,15.174,4.6,mb,27,61,1.631,0.93,us,us6000lgwd,2023-10-21T04:46:11.040Z,"128 km ENE of Masohi, Indonesia",earthquake,7.18,4.26,0.141,15,reviewed,us,us
2023-10-20T07:57:29.125Z,-2.9427,129.7818,10,4.9,mb,47,58,1.574,0.65,us,us6000lgu3,2023-10-20T08:31:22.040Z,"Seram, Indonesia",earthquake,8.07,1.873,0.086,46,reviewed,us,us
2023-10-20T04:43:23.364Z,-28.084,-71.4926,41.954,4.7,mb,22,192,0.389,0.79,us,us6000lgtd,2023-10-21T00:11:49.040Z,"90 km NW of Vallenar, Chile",earthquake,5.49,6.907,0.208,7,reviewed,us,us
2023-10-20T03:49:48.242Z,-35.5763,179.6741,44.97,4.6,mb,31,106,2.267,1,us,us6000lgt7,2023-10-20T04:48:19.040Z,"off the east coast of the North Island of New Zealand",earthquake,10.85,6.87,0.122,20,reviewed,us,us
2023-10-20T02:44:12.218Z,-6.2293,103.7772,38.448,4.6,mb,32,181,2.029,0.68,us,us6000lgsp,2023-10-20T03:10:00.040Z,"186 km WSW of Bandar Lampung, Indonesia",earthquake,11.8,6.347,0.12,23,reviewed,us,us
